;QUESTION
265;What is my top site group by natural gas consumption?
266;Which site groups consumed the most electric power in 2019?
267;Which site group led in waste water consumption?
268;What are the bottom ten site groups for diesel usage
269;What are my total emissions and respective usage volumes for my India division in 2019
270;What is the total cost for 2020 electric power in kWh?
271;What is the monthly natural gas usage for the Amadora site?
272;What are the total emissions for 2021?
273;What are the industrial division’s emissions in tons for 2020?
274;What are the corporate emissions for the last 6 months?
275;What was the electric power usage for 2019?
276;What are the total waste water costs for the Amadora site?
277;What are the emissions for the APAC site group for Q4?
278;Which sites in the Industrial division produced the most emissions from 2018 to 2022?
279;Which 5 sites produced the most emissions last year?
280;Which sites in the Industrial division produced the most emissions the current year??
281;Which 5 sites in the Industrial division produced the least wastewater in 2020?
282;What were the France electric power costs for June 1st 2020 through July 31 2020?
283;and what about my emission
284;What about emissions?
285;What about my emissions for the same site?
286;What about my cost for natural gas?
287;What about the emissions for all my sites in december?
288;and what about my emissions for the same year?
289;My electricity consumption in Grenoble in 2022
290;Mi consumo de electricidad en Grenoble en 2022
291;How about gas usage?
292;What about my scope 2 for Louisville ky?
293;Which are the 5 sites with the highest electricity cost?
294;What's the total square footage at the Cincinnati site?
295;What were the monthly full-time employees for all sites in 2023?
296;What is the current energy use goal for Fargo
297;How many employees work at sites within the Silicones site?
298;How many accidents are associated with the Boulder site?
299;Show the number of guest nights for Louisville site this month
300;Which sites are largest in terms of square footage?
301;Which sites have the fewest number of meeting rooms?
302;Show the number of guest nights for Louisville site this month?
303;What were the May 2023 usages for the accounts at the Chennai site?
304;what is the difference between the total electric power usage for all sites in 2021 and 2022?
305;what is the difference between the total electric power usage for all sites in 2021 and 2022
306;What is the number of female employees in Athens
307;what is the climate zone for aloft bali seminyak
308;what is the close date for anthens tx
309;What was the total electric power usage across all sites in 2023?
310;Which sites used the most electric power in 2023?
311;What was the total production for the Asnieres site last year?
312;What are the total scope 2 emissions for all sites within the last quarter?
313;What is the monthly natural gas cost for the Commercial division so far this year?
314;What was the average scope 2 emissions across all sites last year?
315;What is the average energy use intensity across all sites so far this year?
316;Show the total emissions data for all sites so far this year
317;What are some trends in my electric power usage data?
318;What were the total Scope 1 emissions for the Chennai site from Jan 2023 through the end of September 2023?
319;How much did we spend on electric power for all sites in 2022?
320;Muéstrame el consumo de gas natural en 2021 de la división commercial
321;What is the total number of full time employees across all sites for last year?
322;What was my waste usage for nov 2022 for all sites?
323;How can I find estimated annual consumption for Miami, Florida location
324;Qual minha loja com maior consumo de energía?
325;what were the total GHG emissions of the company in 2023?
326;What are my total Electric Power Emissions for All of my sites for March 23
327;Total industrial divisions emissions for March 2023
328;What was my total emissions across the entire business from 2021-2023?
329;Show me all utility cost and volume data for Ridge Munster
330;Can you tell me what % of Austrian Power is hedged for 2024?
